longwave_radiance	isotropic_longwave_radiance_in_air
water_vapor_content_of_atmosphere_layer	mass_content_of_water_vapor_in_atmosphere_layer
tendency_of_atmosphere_water_content_due_to_advection	tendency_of_atmosphere_mass_content_of_water_due_to_advection
tendency_of_atmosphere_water_vapor_content	tendency_of_atmosphere_mass_content_of_water_vapor
tendency_of_atmosphere_water_vapor_content_due_to_convection	tendency_of_atmosphere_mass_content_of_water_vapor_due_to_convection
tendency_of_atmosphere_water_vapor_content_due_to_deep_convection	tendency_of_atmosphere_mass_content_of_water_vapor_due_to_deep_convection
tendency_of_atmosphere_water_vapor_content_due_to_shallow_convection	tendency_of_atmosphere_mass_content_of_water_vapor_due_to_shallow_convection
tendency_of_atmosphere_water_vapor_content_due_to_turbulence	tendency_of_atmosphere_mass_content_of_water_vapor_due_to_turbulence
tendency_of_water_vapor_content_of_atmosphere_layer	tendency_of_mass_content_of_water_vapor_in_atmosphere_layer
tendency_of_water_vapor_content_of_atmosphere_layer_due_to_convection	tendency_of_mass_content_of_water_vapor_in_atmosphere_layer_due_to_convection
tendency_of_water_vapor_content_of_atmosphere_layer_due_to_deep_convection	tendency_of_mass_content_of_water_vapor_in_atmosphere_layer_due_to_deep_convection
tendency_of_water_vapor_content_of_atmosphere_layer_due_to_shallow_convection	tendency_of_mass_content_of_water_vapor_in_atmosphere_layer_due_to_shallow_convection
tendency_of_water_vapor_content_of_atmosphere_layer_due_to_turbulence	tendency_of_mass_content_of_water_vapor_in_atmosphere_layer_due_to_turbulence
equivalent_thickness_at_stp_of_atmosphere_o3_content	equivalent_thickness_at_stp_of_atmosphere_ozone_content
x_sea_water_velocity	sea_water_x_velocity
y_sea_water_velocity	sea_water_y_velocity
grid_eastward_wind	x_wind
grid_northward_wind	y_wind
tendency_of_atmosphere_water_vapor_content_due_to_advection	tendency_of_atmosphere_mass_content_of_water_vapor_due_to_advection
land_ice_surface_specific_mass_balance	land_ice_surface_specific_mass_balance_rate
land_ice_lwe_surface_specific_mass_balance	land_ice_lwe_surface_specific_mass_balance_rate
isotropic_spectral_radiance_in_air	isotropic_radiance_per_unit_wavelength_in_air
spectral_radiance	isotropic_radiance_per_unit_wavelength_in_air
omnidirectional_spectral_spherical_irradiance_in_sea_water	omnidirectional_spherical_irradiance_per_unit_wavelength_in_sea_water
chlorophyll_concentration_in_sea_water	mass_concentration_of_chlorophyll_in_sea_water
concentration_of_chlorophyll_in_sea_water	mass_concentration_of_chlorophyll_in_sea_water
atmosphere_specific_convective_available_potential_energy	atmosphere_convective_available_potential_energy
specific_convective_available_potential_energy	atmosphere_convective_available_potential_energy
gross_primary_productivity_of_carbon	gross_primary_productivity_of_biomass_expressed_as_carbon
net_primary_productivity_of_carbon	net_primary_productivity_of_biomass_expressed_as_carbon
net_primary_productivity_of_carbon_accumulated_in_leaves	net_primary_productivity_of_biomass_expressed_as_carbon_accumulated_in_leaves
net_primary_productivity_of_carbon_accumulated_in_roots	net_primary_productivity_of_biomass_expressed_as_carbon_accumulated_in_roots
net_primary_productivity_of_carbon_accumulated_in_wood	net_primary_productivity_of_biomass_expressed_as_carbon_accumulated_in_wood
atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol	atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles
atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol	atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_particles
mass_fraction_of_particulate_organic_matter_dry_aerosol_in_air	mass_fraction_of_particulate_organic_matter_dry_aerosol_particles_in_air
mass_fraction_of_primary_particulate_organic_matter_dry_aerosol_in_air	mass_fraction_of_primary_particulate_organic_matter_dry_aerosol_particles_in_air
tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_dry_deposition	tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_dry_deposition
tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_gravitational_settling	tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_gravitational_settling
tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_turbulent_deposition	tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_turbulent_deposition
tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_wet_deposition	tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_wet_deposition
tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_dry_deposition	tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_particles_due_to_dry_deposition
tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_wet_deposition	tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_particles_due_to_wet_deposition
atmosphere_absorption_optical_thickness_due_to_ambient_aerosol	atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles
aerosol_angstrom_exponent	angstrom_exponent_of_ambient_aerosol_in_air
atmosphere_absorption_optical_thickness_due_to_dust_ambient_aerosol	atmosphere_absorption_optical_thickness_due_to_dust_ambient_aerosol_particles
atmosphere_absorption_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol	atmosphere_absorption_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles
atmosphere_absorption_optical_thickness_due_to_sulfate_ambient_aerosol	atmosphere_absorption_optical_thickness_due_to_sulfate_ambient_aerosol_particles
atmosphere_mass_content_of_ammonium_dry_aerosol	atmosphere_mass_content_of_ammonium_dry_aerosol_particles
atmosphere_mass_content_of_dust_dry_aerosol	atmosphere_mass_content_of_dust_dry_aerosol_particles
atmosphere_mass_content_of_mercury_dry_aerosol	atmosphere_mass_content_of_mercury_dry_aerosol_particles
atmosphere_mass_content_of_nitrate_dry_aerosol	atmosphere_mass_content_of_nitrate_dry_aerosol_particles
atmosphere_mass_content_of_nitric_acid_trihydrate_ambient_aerosol	atmosphere_mass_content_of_nitric_acid_trihydrate_ambient_aerosol_particles
atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol	atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_particles
atmosphere_mass_content_of_sulfate_ambient_aerosol	atmosphere_mass_content_of_sulfate_ambient_aerosol_particles
